,prompt,orig_completion,completion
549,What's the breakdown of New Users by Language in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$language"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:new_users,qf:-,qb:language}"
550,New Users by Initial Adgroup ID,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_adgroup_id"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:new_users,qf:-,qb:initial_adgroup_id}"
551,What's the breakdown of New Users by Initial Adgroup ID in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_adgroup_id"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:new_users,qf:-,qb:initial_adgroup_id}"
552,What's the breakdown of New Users by Initial Adgroup ID in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_adgroup_id"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:new_users,qf:-,qb:initial_adgroup_id}"
553,What's the breakdown of New Users by Initial Adgroup ID in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_adgroup_id"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:new_users,qf:-,qb:initial_adgroup_id}"
554,New Users by Locale,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$locale"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:new_users,qf:-,qb:locale}"
555,What's the breakdown of New Users by Locale in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$locale"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:new_users,qf:-,qb:locale}"
556,What's the breakdown of New Users by Locale in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$locale"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:new_users,qf:-,qb:locale}"
557,What's the breakdown of New Users by Locale in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$locale"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:new_users,qf:-,qb:locale}"
558,New Users by Latest GCLID,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$latest_gclid"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:new_users,qf:-,qb:latest_gclid}"
559,What's the breakdown of New Users by Latest GCLID in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$latest_gclid"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:new_users,qf:-,qb:latest_gclid}"
560,What's the breakdown of New Users by Latest GCLID in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$latest_gclid"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:new_users,qf:-,qb:latest_gclid}"
561,What's the breakdown of New Users by Latest GCLID in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$latest_gclid"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:new_users,qf:-,qb:latest_gclid}"
562,New Users by Initial Keyword,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_keyword"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:new_users,qf:-,qb:initial_keyword}"
563,What's the breakdown of New Users by Initial Keyword in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_keyword"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:new_users,qf:-,qb:initial_keyword}"
564,What's the breakdown of New Users by Initial Keyword in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_keyword"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:new_users,qf:-,qb:initial_keyword}"
565,What's the breakdown of New Users by Initial Keyword in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_keyword"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:new_users,qf:-,qb:initial_keyword}"
566,New Users by 6signal Industry,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$6Signal_industry"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:new_users,qf:-,qb:6Signal_industry}"
567,What's the breakdown of New Users by 6signal Industry in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$6Signal_industry"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:new_users,qf:-,qb:6Signal_industry}"
568,What's the breakdown of New Users by 6signal Industry in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$6Signal_industry"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:new_users,qf:-,qb:6Signal_industry}"
569,What's the breakdown of New Users by 6signal Industry in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$6Signal_industry"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:new_users,qf:-,qb:6Signal_industry}"
570,New Users by Region,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$region"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:new_users,qf:-,qb:region}"
571,What's the breakdown of New Users by Region in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$region"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:new_users,qf:-,qb:region}"
572,What's the breakdown of New Users by Region in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$region"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:new_users,qf:-,qb:region}"
573,What's the breakdown of New Users by Region in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$region"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:new_users,qf:-,qb:region}"
574,New Users by Initial Page Spent Time,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_page_spent_time"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:new_users,qf:-,qb:initial_page_spent_time}"
575,What's the breakdown of New Users by Initial Page Spent Time in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_page_spent_time"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:new_users,qf:-,qb:initial_page_spent_time}"
576,What's the breakdown of New Users by Initial Page Spent Time in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_page_spent_time"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:new_users,qf:-,qb:initial_page_spent_time}"
577,What's the breakdown of New Users by Initial Page Spent Time in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_page_spent_time"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:new_users,qf:-,qb:initial_page_spent_time}"
578,New Users by Name,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$name"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:new_users,qf:-,qb:name}"
579,What's the breakdown of New Users by Name in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$name"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:new_users,qf:-,qb:name}"
580,What's the breakdown of New Users by Name in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$name"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:new_users,qf:-,qb:name}"
581,What's the breakdown of New Users by Name in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""new_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$name"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:new_users,qf:-,qb:name}"
582,Repeat Users by Source,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$source"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:repeat_users,qf:-,qb:source}"
583,What's the breakdown of Repeat Users by Source in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$source"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:repeat_users,qf:-,qb:source}"
584,What's the breakdown of Repeat Users by Source in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$source"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:repeat_users,qf:-,qb:source}"
585,What's the breakdown of Repeat Users by Source in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$source"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:repeat_users,qf:-,qb:source}"
586,Repeat Users by Medium,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$medium"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:repeat_users,qf:-,qb:medium}"
587,What's the breakdown of Repeat Users by Medium in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$medium"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:repeat_users,qf:-,qb:medium}"
588,What's the breakdown of Repeat Users by Medium in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$medium"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:repeat_users,qf:-,qb:medium}"
589,What's the breakdown of Repeat Users by Medium in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$medium"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:repeat_users,qf:-,qb:medium}"
590,Repeat Users by Campaign,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$campaign"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:repeat_users,qf:-,qb:campaign}"
591,What's the breakdown of Repeat Users by Campaign in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$campaign"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:repeat_users,qf:-,qb:campaign}"
592,What's the breakdown of Repeat Users by Campaign in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$campaign"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:repeat_users,qf:-,qb:campaign}"
593,What's the breakdown of Repeat Users by Campaign in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$campaign"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:repeat_users,qf:-,qb:campaign}"
594,Repeat Users by Adgroup,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$adgroup"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:repeat_users,qf:-,qb:adgroup}"
595,What's the breakdown of Repeat Users by Adgroup in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$adgroup"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:repeat_users,qf:-,qb:adgroup}"
596,What's the breakdown of Repeat Users by Adgroup in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$adgroup"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:repeat_users,qf:-,qb:adgroup}"
597,What's the breakdown of Repeat Users by Adgroup in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$adgroup"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:repeat_users,qf:-,qb:adgroup}"
598,Repeat Users by Keyword,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$keyword"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:repeat_users,qf:-,qb:keyword}"
599,What's the breakdown of Repeat Users by Keyword in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$keyword"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:repeat_users,qf:-,qb:keyword}"
600,What's the breakdown of Repeat Users by Keyword in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$keyword"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:repeat_users,qf:-,qb:keyword}"
601,What's the breakdown of Repeat Users by Keyword in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$keyword"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:repeat_users,qf:-,qb:keyword}"
602,Repeat Users by Content,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$content"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:repeat_users,qf:-,qb:content}"
603,What's the breakdown of Repeat Users by Content in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$content"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:repeat_users,qf:-,qb:content}"
604,What's the breakdown of Repeat Users by Content in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$content"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:repeat_users,qf:-,qb:content}"
605,What's the breakdown of Repeat Users by Content in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$content"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:repeat_users,qf:-,qb:content}"
606,Repeat Users by Channel,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$channel"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:repeat_users,qf:-,qb:channel}"
607,What's the breakdown of Repeat Users by Channel in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$channel"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:repeat_users,qf:-,qb:channel}"
608,What's the breakdown of Repeat Users by Channel in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$channel"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:repeat_users,qf:-,qb:channel}"
609,What's the breakdown of Repeat Users by Channel in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$channel"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:repeat_users,qf:-,qb:channel}"
610,Repeat Users by Referrer URL,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_referrer_url"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:repeat_users,qf:-,qb:initial_referrer_url}"
611,What's the breakdown of Repeat Users by Referrer URL in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_referrer_url"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:repeat_users,qf:-,qb:initial_referrer_url}"
612,What's the breakdown of Repeat Users by Referrer URL in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_referrer_url"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:repeat_users,qf:-,qb:initial_referrer_url}"
613,What's the breakdown of Repeat Users by Referrer URL in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_referrer_url"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:repeat_users,qf:-,qb:initial_referrer_url}"
614,Repeat Users by Landing Page URL,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_page_url"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:repeat_users,qf:-,qb:initial_page_url}"
615,What's the breakdown of Repeat Users by Landing Page URL in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_page_url"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:repeat_users,qf:-,qb:initial_page_url}"
616,What's the breakdown of Repeat Users by Landing Page URL in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_page_url"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:repeat_users,qf:-,qb:initial_page_url}"
617,What's the breakdown of Repeat Users by Landing Page URL in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_page_url"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:repeat_users,qf:-,qb:initial_page_url}"
618,Repeat Users by Session Exit Page URL,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$session_latest_page_url"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:repeat_users,qf:-,qb:session_latest_page_url}"
619,What's the breakdown of Repeat Users by Session Exit Page URL in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$session_latest_page_url"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:repeat_users,qf:-,qb:session_latest_page_url}"
620,What's the breakdown of Repeat Users by Session Exit Page URL in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$session_latest_page_url"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:repeat_users,qf:-,qb:session_latest_page_url}"
621,What's the breakdown of Repeat Users by Session Exit Page URL in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$session_latest_page_url"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:repeat_users,qf:-,qb:session_latest_page_url}"
622,Repeat Users by Timestamp,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$timestamp"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:repeat_users,qf:-,qb:timestamp}"
623,What's the breakdown of Repeat Users by Timestamp in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$timestamp"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:repeat_users,qf:-,qb:timestamp}"
624,What's the breakdown of Repeat Users by Timestamp in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$timestamp"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:repeat_users,qf:-,qb:timestamp}"
625,What's the breakdown of Repeat Users by Timestamp in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$timestamp"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:repeat_users,qf:-,qb:timestamp}"
626,Repeat Users by Session Time Spent,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$session_spent_time"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:repeat_users,qf:-,qb:session_spent_time}"
627,What's the breakdown of Repeat Users by Session Time Spent in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$session_spent_time"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:repeat_users,qf:-,qb:session_spent_time}"
628,What's the breakdown of Repeat Users by Session Time Spent in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$session_spent_time"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:repeat_users,qf:-,qb:session_spent_time}"
629,What's the breakdown of Repeat Users by Session Time Spent in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$session_spent_time"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:repeat_users,qf:-,qb:session_spent_time}"
630,Repeat Users by Landing Page Load Time,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_page_load_time"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:repeat_users,qf:-,qb:initial_page_load_time}"
