,prompt,orig_completion,completion
671,What's the breakdown of Repeat Users by Initial Page Raw URL in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_page_raw_url"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:repeat_users,qf:-,qb:initial_page_raw_url}"
672,Repeat Users by Initial Content,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_content"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:repeat_users,qf:-,qb:initial_content}"
673,What's the breakdown of Repeat Users by Initial Content in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_content"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:repeat_users,qf:-,qb:initial_content}"
674,What's the breakdown of Repeat Users by Initial Content in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_content"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:repeat_users,qf:-,qb:initial_content}"
675,What's the breakdown of Repeat Users by Initial Content in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_content"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:repeat_users,qf:-,qb:initial_content}"
676,Repeat Users by Device Type,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$device_type"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:repeat_users,qf:-,qb:device_type}"
677,What's the breakdown of Repeat Users by Device Type in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$device_type"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:repeat_users,qf:-,qb:device_type}"
678,What's the breakdown of Repeat Users by Device Type in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$device_type"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:repeat_users,qf:-,qb:device_type}"
679,What's the breakdown of Repeat Users by Device Type in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$device_type"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:repeat_users,qf:-,qb:device_type}"
680,Repeat Users by Device Brand,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$device_brand"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:repeat_users,qf:-,qb:device_brand}"
681,What's the breakdown of Repeat Users by Device Brand in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$device_brand"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:repeat_users,qf:-,qb:device_brand}"
682,What's the breakdown of Repeat Users by Device Brand in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$device_brand"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:repeat_users,qf:-,qb:device_brand}"
683,What's the breakdown of Repeat Users by Device Brand in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$device_brand"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:repeat_users,qf:-,qb:device_brand}"
684,Repeat Users by Total Revenue,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$total_revenue"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:repeat_users,qf:-,qb:total_revenue}"
685,What's the breakdown of Repeat Users by Total Revenue in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$total_revenue"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:repeat_users,qf:-,qb:total_revenue}"
686,What's the breakdown of Repeat Users by Total Revenue in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$total_revenue"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:repeat_users,qf:-,qb:total_revenue}"
687,What's the breakdown of Repeat Users by Total Revenue in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$total_revenue"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:repeat_users,qf:-,qb:total_revenue}"
688,Repeat Users by Initial Referrer URL,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_referrer_url"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:repeat_users,qf:-,qb:initial_referrer_url}"
689,What's the breakdown of Repeat Users by Initial Referrer URL in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_referrer_url"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:repeat_users,qf:-,qb:initial_referrer_url}"
690,What's the breakdown of Repeat Users by Initial Referrer URL in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_referrer_url"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:repeat_users,qf:-,qb:initial_referrer_url}"
691,What's the breakdown of Repeat Users by Initial Referrer URL in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_referrer_url"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:repeat_users,qf:-,qb:initial_referrer_url}"
692,Repeat Users by Page Count,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$page_count"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:repeat_users,qf:-,qb:page_count}"
693,What's the breakdown of Repeat Users by Page Count in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$page_count"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:repeat_users,qf:-,qb:page_count}"
694,What's the breakdown of Repeat Users by Page Count in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$page_count"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:repeat_users,qf:-,qb:page_count}"
695,What's the breakdown of Repeat Users by Page Count in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$page_count"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:repeat_users,qf:-,qb:page_count}"
696,Repeat Users by First Seen Time,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$joinTime"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:repeat_users,qf:-,qb:joinTime}"
697,What's the breakdown of Repeat Users by First Seen Time in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$joinTime"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:repeat_users,qf:-,qb:joinTime}"
698,What's the breakdown of Repeat Users by First Seen Time in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$joinTime"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:repeat_users,qf:-,qb:joinTime}"
699,What's the breakdown of Repeat Users by First Seen Time in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$joinTime"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:repeat_users,qf:-,qb:joinTime}"
700,Repeat Users by Latest Campaign ID,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$latest_campaign_id"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:repeat_users,qf:-,qb:latest_campaign_id}"
701,What's the breakdown of Repeat Users by Latest Campaign ID in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$latest_campaign_id"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:repeat_users,qf:-,qb:latest_campaign_id}"
702,What's the breakdown of Repeat Users by Latest Campaign ID in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$latest_campaign_id"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:repeat_users,qf:-,qb:latest_campaign_id}"
703,What's the breakdown of Repeat Users by Latest Campaign ID in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$latest_campaign_id"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:repeat_users,qf:-,qb:latest_campaign_id}"
704,Repeat Users by Latest Page Spent Time,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$latest_page_spent_time"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:repeat_users,qf:-,qb:latest_page_spent_time}"
705,What's the breakdown of Repeat Users by Latest Page Spent Time in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$latest_page_spent_time"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:repeat_users,qf:-,qb:latest_page_spent_time}"
706,What's the breakdown of Repeat Users by Latest Page Spent Time in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$latest_page_spent_time"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:repeat_users,qf:-,qb:latest_page_spent_time}"
707,What's the breakdown of Repeat Users by Latest Page Spent Time in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$latest_page_spent_time"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:repeat_users,qf:-,qb:latest_page_spent_time}"
708,Repeat Users by Last Name,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$last_name"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:repeat_users,qf:-,qb:last_name}"
709,What's the breakdown of Repeat Users by Last Name in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$last_name"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:repeat_users,qf:-,qb:last_name}"
710,What's the breakdown of Repeat Users by Last Name in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$last_name"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:repeat_users,qf:-,qb:last_name}"
711,What's the breakdown of Repeat Users by Last Name in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$last_name"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:repeat_users,qf:-,qb:last_name}"
712,Repeat Users by Device Model,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$device_model"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:repeat_users,qf:-,qb:device_model}"
713,What's the breakdown of Repeat Users by Device Model in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$device_model"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:repeat_users,qf:-,qb:device_model}"
714,What's the breakdown of Repeat Users by Device Model in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$device_model"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:repeat_users,qf:-,qb:device_model}"
715,What's the breakdown of Repeat Users by Device Model in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$device_model"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:repeat_users,qf:-,qb:device_model}"
716,Repeat Users by Latest Page Raw URL,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$latest_page_raw_url"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:repeat_users,qf:-,qb:latest_page_raw_url}"
717,What's the breakdown of Repeat Users by Latest Page Raw URL in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$latest_page_raw_url"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:repeat_users,qf:-,qb:latest_page_raw_url}"
718,What's the breakdown of Repeat Users by Latest Page Raw URL in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$latest_page_raw_url"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:repeat_users,qf:-,qb:latest_page_raw_url}"
719,What's the breakdown of Repeat Users by Latest Page Raw URL in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$latest_page_raw_url"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:repeat_users,qf:-,qb:latest_page_raw_url}"
720,Repeat Users by Phone,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$phone"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:repeat_users,qf:-,qb:phone}"
721,What's the breakdown of Repeat Users by Phone in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$phone"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:repeat_users,qf:-,qb:phone}"
722,What's the breakdown of Repeat Users by Phone in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$phone"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:repeat_users,qf:-,qb:phone}"
723,What's the breakdown of Repeat Users by Phone in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$phone"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:repeat_users,qf:-,qb:phone}"
724,Repeat Users by Latest Medium,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$latest_medium"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:repeat_users,qf:-,qb:latest_medium}"
725,What's the breakdown of Repeat Users by Latest Medium in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$latest_medium"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:repeat_users,qf:-,qb:latest_medium}"
726,What's the breakdown of Repeat Users by Latest Medium in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$latest_medium"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:repeat_users,qf:-,qb:latest_medium}"
727,What's the breakdown of Repeat Users by Latest Medium in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$latest_medium"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:repeat_users,qf:-,qb:latest_medium}"
728,Repeat Users by Latest FBCLID,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$latest_fbclid"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:repeat_users,qf:-,qb:latest_fbclid}"
729,What's the breakdown of Repeat Users by Latest FBCLID in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$latest_fbclid"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:repeat_users,qf:-,qb:latest_fbclid}"
730,What's the breakdown of Repeat Users by Latest FBCLID in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$latest_fbclid"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:repeat_users,qf:-,qb:latest_fbclid}"
731,What's the breakdown of Repeat Users by Latest FBCLID in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$latest_fbclid"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:repeat_users,qf:-,qb:latest_fbclid}"
732,Repeat Users by Initial FBCLID,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_fbclid"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:repeat_users,qf:-,qb:initial_fbclid}"
733,What's the breakdown of Repeat Users by Initial FBCLID in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_fbclid"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:repeat_users,qf:-,qb:initial_fbclid}"
734,What's the breakdown of Repeat Users by Initial FBCLID in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_fbclid"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:repeat_users,qf:-,qb:initial_fbclid}"
735,What's the breakdown of Repeat Users by Initial FBCLID in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_fbclid"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:repeat_users,qf:-,qb:initial_fbclid}"
736,Repeat Users by Initial Campaign ID,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_campaign_id"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:repeat_users,qf:-,qb:initial_campaign_id}"
737,What's the breakdown of Repeat Users by Initial Campaign ID in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_campaign_id"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:repeat_users,qf:-,qb:initial_campaign_id}"
738,What's the breakdown of Repeat Users by Initial Campaign ID in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_campaign_id"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:repeat_users,qf:-,qb:initial_campaign_id}"
739,What's the breakdown of Repeat Users by Initial Campaign ID in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_campaign_id"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:repeat_users,qf:-,qb:initial_campaign_id}"
740,Repeat Users by Initial Source,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_source"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:repeat_users,qf:-,qb:initial_source}"
741,What's the breakdown of Repeat Users by Initial Source in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_source"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:repeat_users,qf:-,qb:initial_source}"
742,What's the breakdown of Repeat Users by Initial Source in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_source"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:repeat_users,qf:-,qb:initial_source}"
743,What's the breakdown of Repeat Users by Initial Source in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$initial_source"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:repeat_users,qf:-,qb:initial_source}"
744,Repeat Users by Latest Adgroup ID,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$latest_adgroup_id"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:repeat_users,qf:-,qb:latest_adgroup_id}"
745,What's the breakdown of Repeat Users by Latest Adgroup ID in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$latest_adgroup_id"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:repeat_users,qf:-,qb:latest_adgroup_id}"
746,What's the breakdown of Repeat Users by Latest Adgroup ID in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$latest_adgroup_id"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:repeat_users,qf:-,qb:latest_adgroup_id}"
747,What's the breakdown of Repeat Users by Latest Adgroup ID in yesterday,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$latest_adgroup_id"",               ""time_range"": ""yesterday"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:yesterday,qe:repeat_users,qf:-,qb:latest_adgroup_id}"
748,Repeat Users by Continent,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$continent"",               ""time_range"": ""default"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:-,qe:repeat_users,qf:-,qb:continent}"
749,What's the breakdown of Repeat Users by Continent in this month,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$continent"",               ""time_range"": ""this_month"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:this_month,qe:repeat_users,qf:-,qb:continent}"
750,What's the breakdown of Repeat Users by Continent in today,"{""query_type"": ""kpi"", ""query_entity_1"": ""repeat_users"",               ""query_filter_1"":""none"", ""query_breakdown_1"": ""$continent"",               ""time_range"": ""today"", ""start_time"": ""default"", ""end_time"": ""default""}","{qt:kpi,time:today,qe:repeat_users,qf:-,qb:continent}"
